epoch;loss;val_loss
0;0.0015050567453727126;0.00689125619828701
1;0.0020388271659612656;0.008945915848016739
2;0.0017466370481997728;0.007829046808183193
3;0.001610491657629609;0.00531565397977829
4;0.0016075561288744211;0.005054497625678778
5;0.0014404092216864228;0.006454926449805498
6;0.0019174544140696526;0.017871832475066185
7;0.002073179231956601;0.006614359561353922
8;0.0014349509729072452;0.009949013590812683
9;0.0014674881240352988;0.005579071585088968
10;0.0015526353381574154;0.012433701194822788
11;0.001548002241179347;0.007084532640874386
12;0.0015605059452354908;0.011196237057447433
13;0.0014554543886333704;0.006095259916037321
14;0.001465530600398779;0.004281548783183098
15;0.0019521834328770638;0.004243544302880764
16;0.0019073913572356105;0.0042013730853796005
17;0.0018918244168162346;0.005337086506187916
18;0.001274594571441412;0.004258563742041588
19;0.001625926117412746;0.007415264379233122
20;0.0013731061480939388;0.006117300596088171
21;0.0014466274296864867;0.015256165526807308
22;0.0017522004200145602;0.008139967918395996
23;0.0015356005169451237;0.008361377753317356
24;0.0012713989708572626;0.005408995319157839
25;0.0016951262950897217;0.0036197921726852655
26;0.0017472116742283106;0.006049411837011576
27;0.0014960223343223333;0.006073847413063049
28;0.001548987114802003;0.006529549136757851
29;0.0015713063767179847;0.004498287104070187
30;0.0014053743798285723;0.007704302202910185
31;0.0011414244072511792;0.004208519123494625
32;0.001555650494992733;0.0037949366960674524
33;0.00120649638120085;0.005674280226230621
34;0.0014419729122892022;0.005883163306862116
35;0.001375469844788313;0.00713915191590786
36;0.0015378486132249236;0.005807560868561268
37;0.0015626634703949094;0.005063746590167284
38;0.0012795575894415379;0.013523762114346027
39;0.0013559628278017044;0.006584950722754002
40;0.0013975889887660742;0.004763646051287651
41;0.001386367715895176;0.006761705968528986
42;0.0012982153566554189;0.007671721745282412
43;0.0012964960187673569;0.007905644364655018
44;0.0018457956612110138;0.0035106418654322624
45;0.0016253633657470345;0.005119276233017445
46;0.0015481094596907496;0.012328993529081345
47;0.001660722540691495;0.006891235243529081
48;0.0015503952745348215;0.013894676230847836
49;0.0014777760952711105;0.006649930961430073
50;0.0013740611029788852;0.009805833920836449
51;0.0014852142194285989;0.009693973697721958
52;0.001621110481210053;0.006544664967805147
53;0.0015726699493825436;0.009194347076117992
54;0.0010589405428618193;0.015667133033275604
55;0.0016445406945422292;0.014827931299805641
56;0.0012187771499156952;0.00786815769970417
57;0.0014309732941910625;0.006450822576880455
58;0.0012645118404179811;0.004961898550391197
59;0.0012480303412303329;0.0052169132977724075
60;0.0015483020106330514;0.0047071841545403
61;0.0013853820273652673;0.00755384610965848
62;0.0011307987151667476;0.00890300516039133
63;0.001813972950913012;0.009361152537167072
64;0.001324014738202095;0.006058864761143923
